,frame_info.len,frame_info.cap_len,ip.flags,ip.flags.df,ip.ttl,ip.proto,ip.checksum,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum
0,146,146,2.0,1,128,6,58244.0,132,0.0,63117,22,1,1,20,24.0,0,0,0,1,1,0,0,4102,14597.0
1,162,162,2.0,1,64,6,58254.0,148,8.0,22,63117,1,93,20,24.0,0,0,0,1,1,0,0,6265,32859.0
2,146,146,2.0,1,128,6,58243.0,132,0.0,63117,22,93,109,20,24.0,0,0,0,1,1,0,0,4101,2414.0
3,54,54,2.0,1,64,6,58361.0,40,8.0,22,63117,109,185,20,16.0,0,0,0,0,1,0,0,6265,32751.0
4,154,154,2.0,1,128,6,58234.0,140,0.0,63117,22,185,109,20,24.0,0,0,0,1,1,0,0,4101,8861.0
5,54,54,2.0,1,64,6,58360.0,40,8.0,22,63117,109,285,20,16.0,0,0,0,0,1,0,0,6265,32751.0
6,178,178,2.0,1,64,6,58235.0,164,8.0,22,63117,109,285,20,24.0,0,0,0,1,1,0,0,6265,32875.0
7,146,146,2.0,1,128,6,58241.0,132,0.0,63117,22,285,233,20,24.0,0,0,0,1,1,0,0,4101,28700.0
8,54,54,2.0,1,64,6,58358.0,40,8.0,22,63117,233,377,20,16.0,0,0,0,0,1,0,0,6265,32751.0
9,138,138,2.0,1,128,6,58248.0,124,0.0,63117,22,377,233,20,24.0,0,0,0,1,1,0,0,4101,28410.0
10,54,54,2.0,1,64,6,58357.0,40,8.0,22,63117,233,461,20,16.0,0,0,0,0,1,0,0,6265,32751.0
11,146,146,2.0,1,64,6,58264.0,132,8.0,22,63117,233,461,20,24.0,0,0,0,1,1,0,0,6265,32843.0
12,60,60,2.0,1,128,6,58331.0,40,0.0,63117,22,461,325,20,16.0,0,0,0,0,1,0,0,4100,58834.0
13,146,146,2.0,1,128,6,58238.0,132,0.0,63117,22,461,325,20,24.0,0,0,0,1,1,0,0,4100,36012.0
14,54,54,2.0,1,64,6,58355.0,40,8.0,22,63117,325,553,20,16.0,0,0,0,0,1,0,0,6265,32751.0
15,170,170,2.0,1,64,6,58238.0,156,8.0,22,63117,325,553,20,24.0,0,0,0,1,1,0,0,6265,32867.0
16,162,162,2.0,1,128,6,58221.0,148,0.0,63117,22,553,441,20,24.0,0,0,0,1,1,0,0,4106,47850.0
17,218,218,2.0,1,64,6,58189.0,204,8.0,22,63117,441,661,20,24.0,0,0,0,1,1,0,0,6265,32915.0
18,146,146,2.0,1,128,6,58236.0,132,0.0,63117,22,661,605,20,24.0,0,0,0,1,1,0,0,4105,11000.0
19,146,146,2.0,1,64,6,58260.0,132,8.0,22,63117,605,753,20,24.0,0,0,0,1,1,0,0,6265,32843.0
20,146,146,2.0,1,128,6,58235.0,132,0.0,63117,22,753,697,20,24.0,0,0,0,1,1,0,0,4105,6180.0
